url_length,has_https,has_at_symbol,dots_count,hyphen_count,slash_count,digit_count,suspicious_words,has_ip,domain_length,label
18,1,0,1,0,2,0,0,0,10,0
25,1,0,2,0,3,0,0,0,15,0
35,1,0,2,1,3,1,0,0,20,0
45,1,0,3,1,4,2,0,0,25,0
55,1,0,3,2,4,2,0,0,30,0
70,0,1,5,3,6,5,1,0,40,1
80,0,1,6,4,7,6,1,0,45,1
95,0,1,7,5,8,8,1,1,50,1
110,0,1,8,6,9,10,1,1,60,1
130,0,1,9,7,10,12,1,1,70,1
22,1,0,1,0,2,0,0,0,12,0
28,1,0,2,0,3,1,0,0,18,0
38,1,0,2,1,3,1,0,0,22,0
48,1,0,3,1,4,2,0,0,27,0
60,1,0,3,2,5,3,0,0,33,0
75,0,1,5,3,6,5,1,0,42,1
88,0,1,6,4,7,7,1,0,48,1
100,0,1,7,5,8,9,1,1,55,1
120,0,1,8,6,9,11,1,1,65,1
140,0,1,9,7,10,13,1,1,75,1
